"","accID","accType","accSize","accTargets","district","month","sales","qty","strategy1","strategy2","strategy3","salesVisit1","salesVisit2","salesVisit3","salesVisit4","salesVisit5","compBrand"
"1","XYZ-987002","Pharmacy",700,25,3,2013-10-01,0,0,0,0,0,0,0,0,0,0,4
"2","XYZ-987002","Pharmacy",700,25,3,2013-11-01,852365,8,0,0,0,0,0,0,0,75000,4
"3","XYZ-987002","Pharmacy",700,25,3,2013-12-01,2557096,25,0,0,0,0,0,0,0,0,4
"4","XYZ-987002","Pharmacy",700,25,3,2014-01-01,4261826,41,0,0,0,0,825000,3e+05,0,0,4
"5","XYZ-987002","Pharmacy",700,25,3,2014-02-01,5966556,57,0,0,0,0,0,0,0,0,4
"6","XYZ-987002","Pharmacy",700,25,3,2014-03-01,6818921,66,0,0,0,0,1050000,75000,0,0,4
"7","XYZ-987002","Pharmacy",700,25,3,2014-04-01,4261826,41,0,0,0,0,1050000,6e+05,0,0,4
"8","XYZ-987002","Pharmacy",700,25,3,2014-05-01,4261826,41,0,161910,0,0,825000,825000,0,0,4
"9","XYZ-987002","Pharmacy",700,25,3,2014-06-01,4261826,41,89256,300096,0,0,6e+05,975000,0,0,4
"10","XYZ-987002","Pharmacy",700,25,3,2014-07-01,6818921,66,0,154632,0,0,6e+05,1050000,0,0,4
"11","XYZ-987002","Pharmacy",700,25,3,2014-08-01,4261826,41,0,1956801,0,0,450000,750000,0,0,4
"12","XYZ-987002","Pharmacy",700,25,3,2014-09-01,4261826,41,0,107426,0,0,375000,1050000,0,0,4
"13","XYZ-987002","Pharmacy",700,25,3,2014-10-01,3409461,33,0,187263,0,0,3e+05,1875000,0,0,4
"14","XYZ-987002","Pharmacy",700,25,3,2014-11-01,4261826,41,0,106600,0,0,450000,1125000,0,0,4
"15","XYZ-987002","Pharmacy",700,25,3,2014-12-01,6818921,66,0,0,0,0,375000,1350000,0,0,4
"16","XYZ-987002","Pharmacy",700,25,3,2015-01-01,5966556,57,0,152712,0,0,450000,1275000,0,0,4
"17","XYZ-987002","Pharmacy",700,25,3,2015-02-01,3409461,33,0,160000,0,0,375000,1125000,0,0,4
"18","XYZ-987002","Pharmacy",700,25,3,2015-03-01,8523652,82,0,159600,0,0,6e+05,1950000,0,0,4
"19","XYZ-987002","Pharmacy",700,25,3,2015-04-01,8523652,82,0,224500,0,0,450000,1800000,0,0,4
